      Skeleton      	num_frames	Actor1	Actor2	Start	End
S004C002P020R001A060	   110    	  13  	  0   	  0  	 1 
S004C002P020R002A060	   128    	  40  	  0   	  0  	 1 
S004C003P020R001A060	   116    	  15  	  0   	  0  	 1 
S005C001P010R001A050	    63    	  25  	  0   	  1  	 0 
S005C001P018R001A060	    88    	  4   	  0   	  0  	 1 
S005C001P021R001A060	   114    	  8   	  0   	  0  	 1 
S005C002P010R001A059	    99    	  42  	  0   	  1  	 0 
S005C002P010R002A060	    96    	  31  	  0   	  0  	 1 
S005C002P015R001A050	    57    	  27  	  0   	  1  	 0 
S005C002P021R001A056	    86    	  42  	  0   	  1  	 0 
S005C003P010R001A060	    78    	  7   	  0   	  0  	 1 
S005C003P010R002A060	    95    	  4   	  0   	  0  	 1 
S006C001P001R002A060	    70    	  8   	  0   	  0  	 1 
S006C001P007R002A059	    83    	  26  	  0   	  1  	 0 
S006C001P008R001A060	   108    	  9   	  0   	  0  	 1 
S006C002P007R001A050	    68    	  13  	  0   	  0  	 1 
S006C002P007R002A059	    82    	  28  	  0   	  1  	 0 
S006C002P007R002A060	   103    	  16  	  0   	  0  	 1 
S006C002P008R002A052	    73    	  5   	  0   	  0  	 1 
S006C002P015R001A052	    65    	  2   	  0   	  0  	 1 
S006C002P017R001A051	    55    	  25  	  0   	  1  	 0 
S006C002P019R001A052	    83    	  24  	  0   	  0  	 1 
S006C002P019R002A055	    83    	  32  	  0   	  0  	 1 
S006C002P024R002A060	    93    	  4   	  0   	  0  	 1 
S006C003P001R001A060	    80    	  32  	  0   	  0  	 1 
S006C003P008R001A060	   103    	  39  	  0   	  0  	 1 
S006C003P016R001A055	    70    	  37  	  0   	  0  	 1 
S006C003P022R001A059	    81    	  17  	  0   	  1  	 0 
S006C003P022R001A060	   109    	  35  	  0   	  0  	 1 
S006C003P022R002A050	    67    	  9   	  0   	  0  	 1 
S006C003P022R002A051	    59    	  16  	  0   	  0  	 1 
S006C003P022R002A059	   125    	  35  	  0   	  1  	 0 
S007C001P008R001A050	    57    	  9   	  0   	  1  	 0 
S007C001P008R001A060	   104    	  44  	  0   	  1  	 0 
S007C001P018R001A060	    80    	  1   	  0   	  0  	 1 
S007C001P019R001A059	    97    	  8   	  0   	  0  	 1 
S007C001P025R001A055	    62    	  21  	  0   	  0  	 1 
S007C001P025R001A057	   108    	  50  	  0   	  0  	 1 
S007C001P025R001A060	   118    	  6   	  0   	  0  	 1 
S007C001P025R002A050	    70    	  2   	  0   	  0  	 1 
S007C001P025R002A055	    56    	  23  	  0   	  0  	 1 
S007C001P026R001A060	    78    	  10  	  0   	  0  	 1 
S007C001P027R002A050	    59    	  30  	  0   	  1  	 0 
S007C001P028R001A060	    92    	  12  	  0   	  0  	 1 
S007C002P001R002A059	   104    	  36  	  0   	  1  	 0 
S007C002P007R001A056	    65    	  10  	  0   	  1  	 0 
S007C002P025R001A057	   108    	  1   	  0   	  0  	 1 
S007C003P001R001A057	    80    	  6   	  0   	  1  	 0 
S007C003P001R002A060	    77    	  11  	  0   	  0  	 1 
S007C003P018R001A060	    81    	  9   	  0   	  0  	 1 
S007C003P026R001A060	    79    	  13  	  0   	  0  	 1 
S008C001P019R001A055	    83    	  36  	  0   	  0  	 1 
S008C001P019R002A057	    67    	  31  	  0   	  0  	 1 
S008C001P025R002A057	   100    	  56  	  0   	  0  	 1 
S008C001P032R001A060	    81    	  14  	  0   	  0  	 1 
S008C001P034R001A060	    78    	  14  	  0   	  0  	 1 
S008C002P008R001A051	    65    	  4   	  0   	  0  	 1 
S008C002P019R002A060	    86    	  28  	  24  	  0  	 0 
S008C002P029R002A055	    76    	  24  	  0   	  0  	 1 
S008C002P029R002A060	    83    	  23  	  0   	  0  	 1 
S008C002P031R001A051	    58    	  25  	  0   	  1  	 0 
S008C002P032R001A050	    59    	  27  	  0   	  1  	 0 
S008C002P033R002A057	   174    	  44  	  0   	  0  	 0 
S008C002P034R001A052	    58    	  13  	  0   	  0  	 1 
S008C002P035R002A059	    60    	  6   	  0   	  1  	 0 
S008C003P001R001A055	    55    	  9   	  0   	  0  	 1 
S008C003P007R002A052	    57    	  13  	  0   	  0  	 1 
S008C003P008R002A051	    67    	  11  	  0   	  0  	 1 
S008C003P008R002A052	    83    	  16  	  0   	  0  	 1 
S008C003P025R001A051	    58    	  6   	  0   	  0  	 1 
S008C003P025R001A060	    80    	  29  	  0   	  0  	 1 
S008C003P029R001A060	    74    	  6   	  0   	  0  	 1 
S008C003P030R001A060	    80    	  16  	  0   	  0  	 1 
S008C003P031R002A060	    69    	  7   	  0   	  0  	 1 
S008C003P033R001A057	   166    	  43  	  0   	  0  	 1 
S008C003P033R001A060	    81    	  9   	  0   	  0  	 1 
S008C003P035R002A051	    47    	  2   	  0   	  0  	 1 
S008C003P035R002A052	    45    	  4   	  0   	  0  	 1 
S008C003P036R001A059	    69    	  5   	  0   	  1  	 0 
S008C003P036R001A060	    89    	  6   	  0   	  0  	 1 
S009C001P007R001A060	    95    	  5   	  0   	  0  	 1 
S009C002P008R001A060	    96    	  31  	  0   	  0  	 1 
S009C002P015R002A052	    56    	  3   	  0   	  1  	 0 
S009C002P019R001A060	    95    	  1   	  0   	  0  	 1 
S009C002P025R001A059	   107    	  29  	  0   	  0  	 1 
S009C003P007R001A059	    81    	  35  	  0   	  1  	 0 
S009C003P007R001A060	    95    	  21  	  0   	  0  	 1 
S009C003P015R002A060	    94    	  16  	  0   	  0  	 1 
S009C003P025R002A059	    92    	  7   	  0   	  0  	 1 
S010C001P008R001A060	    92    	  4   	  0   	  0  	 1 
S010C001P008R002A060	    84    	  4   	  0   	  0  	 1 
S010C001P018R001A059	   113    	  36  	  0   	  1  	 0 
S010C001P018R002A059	   104    	  37  	  0   	  1  	 0 
S010C002P007R001A060	    95    	  2   	  0   	  0  	 1 
S010C002P008R001A060	    97    	  9   	  0   	  0  	 1 
S010C002P013R001A059	    82    	  43  	  0   	  1  	 0 
S010C002P016R001A060	   101    	  7   	  0   	  0  	 1 
S010C002P017R002A060	    97    	  30  	  0   	  0  	 1 
S010C002P025R002A059	   111    	  45  	  14  	  1  	 0 
S010C003P008R002A060	    99    	  19  	  0   	  0  	 1 
S010C003P017R001A060	    93    	  28  	  0   	  0  	 1 
S010C003P019R002A057	    72    	  8   	  0   	  0  	 1 
S011C001P002R001A060	    77    	  17  	  0   	  0  	 1 
S011C001P015R002A051	    53    	  17  	  0   	  1  	 0 
S011C001P018R002A056	    87    	  72  	  0   	  1  	 0 
S011C001P018R002A060	    95    	  38  	  0   	  0  	 1 
S011C001P025R002A060	    99    	  26  	  24  	  0  	 1 
S011C002P001R001A060	    79    	  13  	  0   	  0  	 1 
S011C002P002R001A060	    78    	  9   	  0   	  0  	 1 
S011C002P007R001A060	    85    	  12  	  0   	  0  	 1 
S011C002P018R002A056	    85    	  70  	  0   	  1  	 0 
S011C002P018R002A060	    96    	  10  	  0   	  0  	 1 
S011C002P025R002A059	    91    	  29  	  16  	  1  	 0 
S011C002P025R002A060	    98    	  23  	  0   	  0  	 1 
S011C002P027R002A060	   108    	  30  	  28  	  1  	 0 
S011C003P007R002A060	    81    	  5   	  0   	  0  	 1 
S011C003P008R002A060	    90    	  33  	  0   	  0  	 1 
S011C003P017R001A053	    75    	  1   	  0   	  1  	 0 
S011C003P017R001A060	    87    	  22  	  13  	  0  	 1 
S012C001P017R002A060	    97    	  37  	  0   	  0  	 1 
S012C001P018R002A060	    84    	  20  	  0   	  0  	 1 
S012C001P028R002A060	    94    	  19  	  0   	  0  	 1 
S012C002P007R001A060	    88    	  17  	  0   	  0  	 1 
S012C002P008R001A060	   112    	  16  	  0   	  0  	 1 
S012C002P008R002A060	    90    	  32  	  7   	  0  	 0 
S012C002P016R002A060	    89    	  11  	  7   	  1  	 0 
S012C002P017R002A060	    96    	  28  	  0   	  0  	 1 
S012C002P018R002A060	    84    	  12  	  0   	  0  	 1 
S012C002P019R002A050	    49    	  11  	  0   	  0  	 1 
S012C002P025R002A060	   103    	  5   	  0   	  0  	 1 
S012C002P037R001A060	   120    	  46  	  0   	  0  	 1 
S012C003P017R002A060	    96    	  16  	  0   	  1  	 1 
S012C003P037R001A059	    73    	  15  	  6   	  0  	 1 
S012C003P037R001A060	    81    	  9   	  0   	  0  	 1 
S013C001P008R002A060	    95    	  7   	  0   	  0  	 1 
S013C001P015R002A060	    86    	  2   	  0   	  0  	 1 
S013C001P016R001A060	   106    	  8   	  0   	  0  	 1 
S013C001P019R002A060	   107    	  36  	  26  	  1  	 0 
S013C002P008R001A060	    79    	  9   	  0   	  0  	 1 
S013C002P016R001A060	   106    	  23  	  0   	  0  	 1 
S014C002P008R001A060	   102    	  6   	  0   	  0  	 1 
S014C002P008R002A059	    54    	  19  	  10  	  1  	 0 
S014C002P025R002A060	    97    	  12  	  0   	  0  	 1 
S014C003P007R002A056	    77    	  26  	  0   	  1  	 0 
S015C001P015R001A060	    99    	  10  	  0   	  0  	 1 
S015C001P015R002A060	    91    	  12  	  0   	  0  	 1 
S015C001P025R002A052	    73    	  6   	  0   	  0  	 1 
S015C001P037R002A060	    92    	  20  	  0   	  0  	 1 
S015C002P007R002A059	    67    	  5   	  0   	  1  	 0 
S015C002P008R002A060	    87    	  10  	  0   	  0  	 1 
S015C002P015R001A060	    98    	  22  	  0   	  0  	 1 
S015C002P015R002A060	    89    	  5   	  0   	  0  	 1 
S015C002P017R002A060	    85    	  6   	  0   	  0  	 1 
S015C002P019R002A060	   104    	  10  	  0   	  0  	 1 
S015C003P015R001A060	    99    	  22  	  0   	  0  	 1 
S015C003P025R001A055	    62    	  18  	  0   	  0  	 1 
S016C001P007R001A060	    99    	  3   	  0   	  0  	 1 
S016C001P021R001A059	   133    	  72  	  0   	  1  	 0 
S016C001P021R002A060	   110    	  26  	  0   	  0  	 1 
S016C001P039R001A060	    96    	  15  	  0   	  0  	 1 
S016C002P007R002A060	    95    	  24  	  0   	  0  	 1 
S016C002P021R001A060	   105    	  3   	  0   	  0  	 1 
S016C002P039R001A060	    96    	  20  	  0   	  0  	 1 
S016C002P040R002A060	    65    	  12  	  3   	  0  	 1 
S016C003P007R002A060	   104    	  2   	  0   	  0  	 1 
S016C003P025R001A060	   113    	  26  	  0   	  0  	 1 
S016C003P039R001A060	    96    	  64  	  11  	  1  	 1 
S016C003P039R002A060	    92    	  3   	  0   	  0  	 1 
S016C003P040R001A060	    98    	  58  	  48  	  1  	 1 
S017C001P003R001A060	   102    	  13  	  0   	  0  	 1 
S017C001P020R001A060	   116    	  33  	  0   	  0  	 1 
S017C001P020R002A060	    77    	  6   	  0   	  0  	 1 
S017C002P003R001A060	   103    	  5   	  0   	  0  	 1 
S017C002P007R002A060	    92    	  19  	  0   	  0  	 1 
S017C002P008R001A060	    85    	  12  	  0   	  0  	 1 
S017C002P008R002A060	    87    	  22  	  0   	  0  	 1 
S017C002P009R001A060	   109    	  14  	  0   	  0  	 1 
S017C002P015R001A060	   123    	  16  	  0   	  0  	 1 
S017C002P020R001A060	   117    	  31  	  0   	  0  	 1 
S017C003P009R001A059	    54    	  20  	  0   	  1  	 0 
S017C003P020R001A060	   111    	  26  	  7   	  0  	 1 
      Skeleton      	num_frames	Actor1	Actor2	Start	End
