      Skeleton      	     bodyID      	 Motion 	  Rate  
S002C003P010R002A015	72057594037930785	0.093696	0.994350
S002C003P010R002A016	72057594037930785	0.121418	0.993865
S002C003P010R002A017	72057594037930785	0.106563	0.992754
S002C003P010R002A018	72057594037930785	0.100634	0.987179
S002C003P010R002A019	72057594037930785	0.103077	0.986667
S003C001P002R001A038	72057594037949954	0.081152	0.905660
S003C001P002R001A039	72057594037949954	0.072838	0.983333
S003C001P002R001A040	72057594037949954	0.075325	0.962264
S003C001P002R001A041	72057594037949954	0.074858	0.989247
S003C001P002R001A042	72057594037949954	0.073460	0.978723
S003C001P018R001A039	72057594037938481	0.045605	0.750000
S003C001P018R001A042	72057594037938481	0.048066	1.000000
S003C001P018R001A043	72057594037938481	0.051500	1.000000
S003C001P018R001A044	72057594037938481	0.055186	1.000000
S003C001P018R001A045	72057594037938481	0.054909	1.000000
S003C001P018R001A046	72057594037938481	0.054734	1.000000
S003C001P018R001A047	72057594037938481	0.054628	1.000000
S003C001P018R001A048	72057594037938481	0.048448	1.000000
S003C001P018R001A049	72057594037938481	0.053730	1.000000
S003C001P018R002A010	72057594037939137	0.058913	0.964286
S003C001P018R002A011	72057594037939137	0.057703	1.000000
S003C001P018R002A013	72057594037939137	0.051451	0.986667
S003C001P018R002A016	72057594037939145	0.051573	0.925373
S003C001P018R002A017	72057594037939145	0.051373	0.944954
S003C001P018R002A018	72057594037939145	0.060616	0.891566
S003C001P018R002A019	72057594037939145	0.056651	0.901408
S003C001P018R002A020	72057594037939145	0.056262	0.989247
S003C001P018R002A021	72057594037939145	0.051347	1.000000
S003C001P018R002A022	72057594037939145	0.053692	1.000000
S003C001P018R002A023	72057594037939145	0.054240	0.984848
S003C002P002R001A010	72057594037952517	0.077384	0.819672
S003C002P002R001A014	72057594037952517	0.071161	0.805128
S003C002P002R001A015	72057594037952517	0.069444	0.761905
S003C003P002R002A010	72057594037948249	0.069097	0.837209
S003C003P002R002A011	72057594037948249	0.062890	0.837838
S003C003P002R002A012	72057594037948249	0.062889	0.933962
S003C003P002R002A013	72057594037948249	0.063527	0.922078
S003C003P002R002A014	72057594037948249	0.059765	0.954198
S003C003P002R002A015	72057594037948249	0.060885	0.840909
S003C003P002R002A020	72057594037948250	0.044657	0.914286
S003C003P002R002A021	72057594037948250	0.045782	0.867647
S003C003P002R002A022	72057594037948250	0.044501	0.875000
S003C003P002R002A023	72057594037948250	0.045684	0.827586
S003C003P002R002A024	72057594037948250	0.045980	0.843750
S003C003P002R002A025	72057594037948250	0.048514	0.975000
S003C003P002R002A026	72057594037948250	0.049917	0.858824
S003C003P002R002A027	72057594037948250	0.047575	0.774194
S003C003P002R002A028	72057594037948250	0.046225	0.782609
S003C003P002R002A029	72057594037948250	0.046002	0.951456
S003C003P002R002A031	72057594037948307	0.043629	1.000000
S003C003P002R002A032	72057594037948307	0.038836	1.000000
S003C003P002R002A033	72057594037948307	0.044180	1.000000
S003C003P002R002A034	72057594037948307	0.041592	0.981132
S003C003P002R002A035	72057594037948307	0.040834	0.948276
S003C003P002R002A036	72057594037948307	0.041102	1.000000
S003C003P002R002A037	72057594037948307	0.039468	0.969697
S003C003P002R002A038	72057594037948307	0.044045	1.000000
S003C003P002R002A039	72057594037948307	0.044264	0.953488
S003C003P002R002A040	72057594037948307	0.041157	0.982143
S003C003P002R002A041	72057594037948307	0.040379	0.955882
S003C003P002R002A042	72057594037948307	0.039661	0.989130
S003C003P002R002A043	72057594037948307	0.039636	0.938462
S003C003P002R002A044	72057594037948307	0.041650	1.000000
S003C003P002R002A045	72057594037948307	0.040072	0.972222
S003C003P002R002A046	72057594037948307	0.040121	0.945946
S003C003P002R002A047	72057594037948307	0.039353	0.959459
S003C003P002R002A048	72057594037948307	0.038979	0.985915
S003C003P002R002A049	72057594037948307	0.041848	0.906250
S003C003P008R002A012	72057594037950621	0.063150	0.803571
S003C003P008R002A016	72057594037950621	0.063265	1.000000
S003C003P008R002A017	72057594037950621	0.057664	1.000000
S003C003P008R002A018	72057594037950621	0.061678	0.988889
S003C003P008R002A019	72057594037950621	0.068473	0.936170
S003C003P008R002A020	72057594037950621	0.064845	0.902174
S003C003P008R002A021	72057594037950621	0.068839	0.945205
S003C003P008R002A022	72057594037950621	0.066196	0.987500
S003C003P008R002A023	72057594037950621	0.069083	1.000000
S003C003P008R002A024	72057594037950621	0.070403	1.000000
S003C003P008R002A025	72057594037950621	0.067028	1.000000
S003C003P008R002A026	72057594037950621	0.064861	1.000000
S003C003P008R002A027	72057594037950621	0.072332	1.000000
S003C003P008R002A028	72057594037950621	0.066052	1.000000
S003C003P008R002A029	72057594037950621	0.057604	0.983740
S003C003P008R002A030	72057594037950621	0.060801	1.000000
S003C003P008R002A031	72057594037950621	0.063469	1.000000
S003C003P008R002A032	72057594037950621	0.063038	1.000000
S003C003P008R002A033	72057594037950621	0.065683	0.955882
S003C003P008R002A034	72057594037950621	0.067396	0.967742
S003C003P008R002A035	72057594037950621	0.065461	0.962963
S003C003P008R002A036	72057594037950621	0.059730	0.965909
S003C003P008R002A037	72057594037950621	0.064616	0.986111
S003C003P008R002A038	72057594037950621	0.062088	0.942857
S003C003P008R002A039	72057594037950621	0.057317	0.988235
S003C003P008R002A040	72057594037950621	0.063663	0.936508
S003C003P008R002A041	72057594037950621	0.060073	0.946237
S004C001P003R001A035	72057594037933431	0.042899	0.826087
S004C001P007R002A024	72057594037930164	0.041982	0.800000
S004C001P007R002A025	72057594037930164	0.042337	0.775000
S004C001P007R002A026	72057594037930164	0.041480	0.857143
S004C001P008R002A010	72057594037930720	0.045298	0.965909
S004C001P008R002A011	72057594037930720	0.042981	0.881119
S004C001P008R002A012	72057594037930720	0.042318	0.947826
S004C001P020R001A031	72057594037931815	0.037852	0.830986
S004C001P020R001A032	72057594037931815	0.037449	0.743056
S004C001P020R001A033	72057594037931815	0.037502	0.775000
S004C001P020R001A034	72057594037931815	0.037697	0.933333
S004C001P020R001A035	72057594037931815	0.038826	0.925000
S004C002P008R002A010	72057594037931506	0.040575	0.965909
S004C002P008R002A012	72057594037931506	0.039632	0.904348
S004C002P008R002A013	72057594037931506	0.040342	0.814433
S004C003P003R001A038	72057594037931618	0.038524	0.780822
S004C003P003R001A039	72057594037931618	0.036348	0.924528
S004C003P003R001A040	72057594037931618	0.042372	0.716981
S004C003P003R001A041	72057594037931618	0.042482	0.784615
S004C003P003R001A044	72057594037931618	0.034223	0.809524
S004C003P003R001A046	72057594037931618	0.037199	0.725000
S004C003P003R001A047	72057594037931618	0.030946	0.757895
S004C003P003R001A048	72057594037931618	0.033937	0.950000
S004C003P003R001A049	72057594037931618	0.028111	0.937500
S004C003P008R002A014	72057594037929551	0.073956	1.000000
S004C003P008R002A015	72057594037929551	0.072964	1.000000
S004C003P008R002A016	72057594037929551	0.073689	1.000000
S004C003P008R002A017	72057594037929551	0.074595	1.000000
S004C003P008R002A018	72057594037929551	0.070324	1.000000
S004C003P008R002A019	72057594037929551	0.082572	1.000000
S004C003P008R002A020	72057594037929551	0.080874	1.000000
S004C003P008R002A021	72057594037929551	0.075831	1.000000
S004C003P008R002A022	72057594037929551	0.071865	1.000000
S004C003P008R002A023	72057594037929551	0.069699	1.000000
S004C003P008R002A024	72057594037929551	0.073470	1.000000
S004C003P008R002A025	72057594037929551	0.070232	1.000000
S004C003P008R002A026	72057594037929551	0.077185	1.000000
S004C003P008R002A027	72057594037929551	0.079528	1.000000
S004C003P008R002A028	72057594037929551	0.077680	1.000000
S004C003P008R002A029	72057594037929551	0.078087	1.000000
S004C003P008R002A030	72057594037929551	0.076402	1.000000
S004C003P008R002A031	72057594037929551	0.066286	1.000000
S004C003P008R002A032	72057594037929551	0.078596	1.000000
S004C003P008R002A033	72057594037929551	0.080206	1.000000
S004C003P008R002A034	72057594037929551	0.070010	1.000000
S004C003P008R002A035	72057594037929551	0.079583	1.000000
S004C003P008R002A036	72057594037929551	0.076080	1.000000
S004C003P008R002A037	72057594037929551	0.076291	1.000000
S004C003P008R002A038	72057594037929551	0.072467	1.000000
S004C003P008R002A039	72057594037929551	0.072765	1.000000
S004C003P008R002A040	72057594037929551	0.070682	1.000000
S004C003P008R002A041	72057594037929551	0.067755	1.000000
S004C003P008R002A042	72057594037929551	0.067603	1.000000
S004C003P008R002A043	72057594037929551	0.068643	1.000000
S004C003P008R002A044	72057594037929551	0.072363	1.000000
S004C003P008R002A045	72057594037929551	0.072574	1.000000
S004C003P008R002A046	72057594037929551	0.071545	1.000000
S004C003P008R002A047	72057594037929551	0.073298	1.000000
S004C003P008R002A048	72057594037929551	0.067689	1.000000
S004C003P008R002A049	72057594037929551	0.069535	1.000000
S004C003P020R001A001	72057594037929551	0.069597	1.000000
S004C003P020R001A002	72057594037929551	0.073512	1.000000
S004C003P020R001A003	72057594037929551	0.072460	1.000000
S004C003P020R001A004	72057594037929551	0.071323	1.000000
S004C003P020R001A005	72057594037929551	0.072371	1.000000
S004C003P020R001A006	72057594037929551	0.067370	1.000000
S004C003P020R001A007	72057594037929551	0.075106	1.000000
S005C001P021R002A050	72057594037931606	0.071019	1.000000
S005C001P021R002A051	72057594037931606	0.077696	1.000000
S005C001P021R002A052	72057594037931606	0.076897	1.000000
S005C001P021R002A053	72057594037931606	0.103454	1.000000
S005C001P021R002A054	72057594037931606	0.077177	1.000000
S005C001P021R002A055	72057594037931606	0.073658	1.000000
S005C002P016R001A008	72057594037936020	0.094669	1.000000
S006C002P016R001A014	72057594037944587	0.145872	0.840000
S006C002P016R001A015	72057594037944587	0.144545	0.911765
S006C002P016R001A016	72057594037944587	0.140525	0.975610
S006C002P016R001A017	72057594037944587	0.141523	1.000000
S006C002P016R001A056	72057594037945397	0.091545	1.000000
S006C002P016R001A057	72057594037945397	0.110668	0.894737
S006C003P017R002A059	72057594037946333	0.069002	1.000000
S006C003P017R002A060	72057594037946333	0.051471	1.000000
S007C001P007R002A016	72057594037932120	0.042254	0.716216
S007C001P007R002A024	72057594037932153	0.163720	0.854839
S007C001P008R001A020	72057594037944797	0.067284	0.837209
S007C001P008R001A021	72057594037944797	0.062507	0.969697
S007C001P008R001A022	72057594037944797	0.064862	0.974359
S007C001P008R001A023	72057594037944797	0.063115	1.000000
S007C001P008R001A024	72057594037944797	0.065241	1.000000
S007C001P008R001A025	72057594037944797	0.065145	0.988235
S007C001P008R001A026	72057594037944797	0.065268	0.890244
S007C001P008R001A027	72057594037944797	0.064225	1.000000
S007C001P008R001A028	72057594037944797	0.064294	0.990566
S007C001P008R001A029	72057594037944797	0.063976	0.986928
S007C001P008R001A030	72057594037944797	0.064208	0.928571
S007C001P008R001A031	72057594037944797	0.065781	0.949153
S007C001P008R001A032	72057594037944797	0.064612	0.930435
S007C001P008R001A033	72057594037944797	0.068384	0.903614
S007C001P015R002A024	72057594037956585	0.045503	0.842105
S007C001P015R002A025	72057594037956585	0.046214	0.885714
S007C001P015R002A026	72057594037956585	0.044899	0.758242
S007C001P015R002A028	72057594037956585	0.043426	0.782609
S007C001P017R001A007	72057594037954845	0.053884	0.893333
S007C001P018R001A059	72057594037936725	0.063930	1.000000
S007C001P018R001A060	72057594037936725	0.069149	1.000000
S007C001P018R002A051	72057594037936725	0.059713	1.000000
S007C001P018R002A052	72057594037936725	0.060458	1.000000
S007C001P018R002A053	72057594037936725	0.059752	1.000000
S007C001P018R002A054	72057594037936725	0.059770	1.000000
S007C001P018R002A055	72057594037936725	0.059439	1.000000
S007C001P018R002A056	72057594037936725	0.058804	1.000000
S007C001P018R002A057	72057594037936725	0.060054	1.000000
S007C001P018R002A058	72057594037936725	0.060702	1.000000
S007C002P007R001A010	72057594037936661	0.054866	0.931818
S007C002P007R001A011	72057594037936661	0.058852	0.978417
S007C002P007R001A012	72057594037936661	0.058906	0.953488
S007C002P007R002A016	72057594037936918	0.067083	1.000000
S007C002P007R002A017	72057594037936918	0.072744	0.936842
S007C002P007R002A018	72057594037936918	0.055032	0.870968
S007C002P007R002A019	72057594037936918	0.064116	0.840336
S007C002P008R001A039	72057594037958314	0.063731	1.000000
S007C002P008R001A040	72057594037958314	0.066548	0.859375
S007C002P008R001A041	72057594037958314	0.076834	1.000000
S007C002P008R001A042	72057594037958314	0.075783	1.000000
S007C002P008R001A043	72057594037958314	0.073532	1.000000
S007C002P008R001A044	72057594037958314	0.071917	1.000000
S007C002P008R001A045	72057594037958314	0.072593	1.000000
S007C002P008R001A046	72057594037958314	0.074911	0.978022
S007C002P008R001A047	72057594037958314	0.075088	1.000000
S007C002P008R001A048	72057594037958314	0.073511	1.000000
S007C002P008R002A003	72057594037958314	0.057150	0.731707
S007C002P008R002A007	72057594037958314	0.056315	0.813559
S007C002P017R002A050	72057594037968704	0.056330	0.967742
S007C002P017R002A051	72057594037968704	0.060941	1.000000
S007C002P017R002A052	72057594037968704	0.051944	0.966667
S007C002P017R002A053	72057594037968704	0.045606	1.000000
S007C002P017R002A054	72057594037968704	0.055382	0.979167
S007C002P017R002A055	72057594037968704	0.047054	1.000000
S007C002P017R002A056	72057594037968704	0.050643	0.952381
S007C002P017R002A057	72057594037968704	0.055201	1.000000
S007C002P017R002A058	72057594037968704	0.050589	0.984375
S007C002P017R002A059	72057594037968704	0.045443	0.965116
S007C002P017R002A060	72057594037968704	0.038369	0.987654
S007C002P018R001A042	72057594037945761	0.038745	0.934066
S007C002P018R001A043	72057594037945761	0.040684	1.000000
S007C002P018R001A045	72057594037945761	0.038683	0.959459
S007C002P018R001A046	72057594037945761	0.038236	0.770270
S007C002P018R001A047	72057594037945761	0.038687	0.840909
S007C002P018R001A048	72057594037945761	0.041360	0.924242
S007C002P018R002A008	72057594037945922	0.030946	0.944444
S007C002P018R002A044	72057594037945929	0.048408	0.767857
S007C002P018R002A045	72057594037945929	0.049783	0.758621
S007C002P018R002A046	72057594037945929	0.053116	0.700000
S007C002P018R002A049	72057594037945929	0.050439	0.776316
S007C002P025R001A023	72057594037940682	0.056902	1.000000
S007C002P025R001A024	72057594037940682	0.053763	0.948276
S007C002P025R001A025	72057594037940682	0.056891	0.984375
S007C002P025R001A026	72057594037940682	0.055693	1.000000
S007C002P025R001A027	72057594037940682	0.053671	1.000000
S007C002P025R001A028	72057594037940682	0.054175	1.000000
S007C002P025R001A029	72057594037940682	0.054158	1.000000
S007C002P025R001A042	72057594037940682	0.105925	0.746988
S007C002P025R002A017	72057594037941043	0.055930	0.932836
S007C002P025R002A018	72057594037941043	0.054593	1.000000
S007C002P025R002A019	72057594037941043	0.056061	0.973684
S007C002P025R002A020	72057594037941043	0.054070	0.960396
S007C002P025R002A021	72057594037941043	0.054436	0.926471
S007C002P025R002A022	72057594037941043	0.054984	0.890625
S007C002P025R002A023	72057594037941043	0.053937	0.944444
S007C002P025R002A024	72057594037941043	0.051103	0.942857
S007C002P025R002A025	72057594037941043	0.052870	0.989583
S007C002P025R002A026	72057594037941043	0.053198	0.846154
S007C002P025R002A027	72057594037941043	0.053209	0.929825
S007C002P025R002A028	72057594037941043	0.048565	0.927083
S007C002P025R002A029	72057594037941043	0.042111	0.894118
S008C001P015R001A011	72057594037934057	0.128836	1.000000
S008C002P001R001A001	72057594037934343	0.096574	1.000000
S008C002P001R001A002	72057594037934343	0.091595	1.000000
S008C002P001R001A003	72057594037934343	0.097092	0.989011
S008C002P001R001A004	72057594037934343	0.091778	1.000000
S008C002P001R001A005	72057594037934343	0.090432	1.000000
S008C002P001R001A006	72057594037934343	0.100763	1.000000
S008C002P001R001A007	72057594037934343	0.092832	1.000000
S008C002P001R001A008	72057594037934343	0.081478	1.000000
S008C002P030R001A050	72057594037936663	0.098994	0.875000
S008C002P030R001A051	72057594037936663	0.104530	0.779661
S008C002P030R001A053	72057594037936663	0.103657	0.868852
S008C002P030R001A054	72057594037936663	0.104384	0.975610
S008C002P030R001A057	72057594037936663	0.101830	0.725000
S008C003P031R002A050	72057594037942336	0.077627	1.000000
S008C003P031R002A051	72057594037942336	0.078192	1.000000
S008C003P031R002A052	72057594037942336	0.072466	1.000000
S008C003P031R002A053	72057594037942336	0.069588	1.000000
S008C003P031R002A054	72057594037942336	0.076060	1.000000
S008C003P031R002A055	72057594037942336	0.079849	1.000000
S009C003P007R001A056	72057594037932721	0.191953	1.000000
S009C003P007R001A057	72057594037932721	0.133232	1.000000
S009C003P007R001A058	72057594037932721	0.136411	1.000000
S009C003P007R001A059	72057594037932721	0.135398	1.000000
S009C003P007R001A060	72057594037932721	0.144949	1.000000
S009C003P007R002A050	72057594037932721	0.144189	1.000000
S009C003P007R002A051	72057594037932721	0.137708	1.000000
S009C003P007R002A052	72057594037932721	0.138010	1.000000
S009C003P007R002A053	72057594037932721	0.145967	1.000000
S009C003P007R002A054	72057594037932721	0.116763	1.000000
S009C003P007R002A055	72057594037932721	0.117138	1.000000
S009C003P007R002A056	72057594037932721	0.123267	1.000000
S009C003P007R002A057	72057594037932721	0.097398	1.000000
S009C003P007R002A058	72057594037932721	0.131657	1.000000
S009C003P007R002A059	72057594037932721	0.118172	1.000000
S009C003P007R002A060	72057594037932721	0.143581	1.000000
S009C003P019R002A057	72057594037932167	0.120668	1.000000
S009C003P019R002A058	72057594037932167	0.165095	1.000000
S009C003P019R002A059	72057594037932167	0.131096	1.000000
S009C003P019R002A060	72057594037932167	0.146078	1.000000
S010C001P018R001A042	72057594037936987	0.045724	1.000000
S010C001P018R001A043	72057594037936987	0.044625	1.000000
S010C001P018R001A044	72057594037936987	0.045112	1.000000
S010C001P018R001A045	72057594037936987	0.048271	1.000000
S010C001P018R001A046	72057594037936987	0.048202	1.000000
S010C001P018R001A047	72057594037936987	0.047551	1.000000
S010C001P018R001A048	72057594037936987	0.047848	1.000000
S010C001P018R001A049	72057594037936987	0.048162	1.000000
S010C001P018R002A001	72057594037936987	0.048840	1.000000
S010C001P018R002A003	72057594037937060	0.044981	1.000000
S010C001P018R002A004	72057594037937060	0.045564	1.000000
S010C001P018R002A005	72057594037937060	0.046124	1.000000
S010C001P018R002A006	72057594037937060	0.046072	1.000000
S010C001P018R002A007	72057594037937060	0.047300	1.000000
S010C001P018R002A024	72057594037937100	0.044870	1.000000
S010C001P018R002A025	72057594037937100	0.046540	0.942529
S010C001P018R002A026	72057594037937100	0.041808	0.986842
S010C001P018R002A027	72057594037937100	0.042510	0.983333
S010C001P018R002A028	72057594037937100	0.042948	1.000000
S010C001P018R002A029	72057594037937100	0.044148	0.976562
S010C001P018R002A030	72057594037937100	0.045659	0.904459
S010C001P018R002A031	72057594037937100	0.044633	0.988636
S010C001P018R002A032	72057594037937100	0.042822	0.988372
S010C001P018R002A033	72057594037937100	0.042073	0.975904
S010C001P018R002A034	72057594037937100	0.042361	0.936709
S010C001P018R002A035	72057594037937100	0.042764	1.000000
S010C001P018R002A036	72057594037937100	0.041790	1.000000
S010C001P018R002A037	72057594037937100	0.046365	0.992366
S010C001P018R002A038	72057594037937100	0.043437	0.983607
S010C001P018R002A039	72057594037937100	0.043754	1.000000
S010C001P018R002A040	72057594037937100	0.044138	0.978261
S010C001P018R002A041	72057594037937100	0.039213	1.000000
S010C001P018R002A042	72057594037937100	0.045984	0.978723
S010C001P018R002A043	72057594037937100	0.036780	0.950820
S010C001P018R002A044	72057594037937100	0.041627	0.742857
S010C001P018R002A045	72057594037937100	0.041074	0.914634
S010C001P018R002A047	72057594037937100	0.041126	0.769231
S010C002P018R001A042	72057594037937419	0.041746	1.000000
S010C002P018R001A043	72057594037937419	0.041930	0.918033
S010C002P018R001A044	72057594037937419	0.041377	0.946429
S010C002P018R001A045	72057594037937419	0.041637	0.969231
S010C002P018R001A046	72057594037937419	0.041045	0.979167
S010C002P018R001A047	72057594037937419	0.041735	1.000000
S010C002P018R001A048	72057594037937419	0.041265	1.000000
S010C002P018R001A049	72057594037937419	0.045023	1.000000
S010C002P018R002A001	72057594037937419	0.041249	0.991870
S010C002P018R002A025	72057594037937665	0.067445	1.000000
S010C002P018R002A026	72057594037937665	0.061102	0.710526
S010C002P018R002A027	72057594037937665	0.061528	1.000000
S010C002P018R002A028	72057594037937665	0.061163	1.000000
S010C002P018R002A029	72057594037937665	0.058870	1.000000
S010C002P018R002A030	72057594037937665	0.060946	0.987261
S010C002P018R002A031	72057594037937665	0.060384	0.965909
S010C002P018R002A032	72057594037937665	0.045414	0.860465
S010C002P018R002A033	72057594037937665	0.050244	0.976190
S010C002P018R002A034	72057594037937665	0.052695	0.987179
S010C002P018R002A035	72057594037937665	0.062181	1.000000
S010C002P018R002A036	72057594037937665	0.063405	1.000000
S010C002P018R002A037	72057594037937665	0.064849	1.000000
S010C002P018R002A038	72057594037937665	0.055287	1.000000
S010C002P018R002A039	72057594037937665	0.056222	1.000000
S010C002P018R002A040	72057594037937665	0.070865	1.000000
S010C002P018R002A041	72057594037937665	0.055122	1.000000
S010C002P018R002A043	72057594037937665	0.057603	0.935484
S010C002P018R002A044	72057594037937665	0.062289	1.000000
S010C002P018R002A045	72057594037937665	0.065372	1.000000
S010C002P018R002A046	72057594037937665	0.063070	1.000000
S010C002P018R002A047	72057594037937665	0.058436	1.000000
S010C002P018R002A048	72057594037937665	0.061110	1.000000
S010C002P018R002A049	72057594037937665	0.059592	1.000000
S010C003P007R002A037	72057594037933836	0.053972	1.000000
S010C003P007R002A042	72057594037933836	0.096200	0.938776
S010C003P007R002A044	72057594037933836	0.085967	0.803922
S010C003P007R002A045	72057594037933836	0.094068	0.972222
S010C003P007R002A046	72057594037933836	0.091333	0.990909
S010C003P007R002A047	72057594037933836	0.094709	0.922330
S010C003P007R002A048	72057594037933836	0.093739	0.968085
S010C003P007R002A049	72057594037933836	0.093022	0.988636
S010C003P018R001A001	72057594037933836	0.081703	0.789474
S010C003P018R001A002	72057594037933836	0.090024	0.897260
S010C003P018R001A003	72057594037933836	0.089864	0.944000
S010C003P018R001A004	72057594037933836	0.085418	0.866667
S010C003P018R001A005	72057594037933836	0.088051	0.956989
S010C003P018R001A006	72057594037933836	0.086965	0.931818
S010C003P018R001A007	72057594037933836	0.083427	0.900000
S010C003P018R001A042	72057594037934307	0.066258	0.950617
S010C003P018R001A043	72057594037934307	0.051725	1.000000
S010C003P018R001A044	72057594037934307	0.049450	1.000000
S010C003P018R001A045	72057594037934307	0.056562	0.800000
S010C003P018R001A046	72057594037934307	0.057891	0.958333
S010C003P018R001A047	72057594037934307	0.054614	1.000000
S010C003P018R001A049	72057594037934307	0.046303	1.000000
S010C003P018R002A001	72057594037934307	0.053083	1.000000
S010C003P018R002A004	72057594037934476	0.047350	0.808511
S010C003P018R002A008	72057594037934499	0.050640	1.000000
S010C003P018R002A009	72057594037934499	0.042977	1.000000
S010C003P018R002A012	72057594037934499	0.035825	0.869281
S010C003P018R002A025	72057594037934548	0.036499	0.712644
S010C003P018R002A026	72057594037934548	0.032623	1.000000
S010C003P018R002A027	72057594037934548	0.035643	0.883333
S010C003P018R002A028	72057594037934548	0.033413	1.000000
S010C003P018R002A029	72057594037934548	0.034798	0.992188
S010C003P018R002A030	72057594037934548	0.032521	0.993631
S010C003P018R002A031	72057594037934548	0.032260	0.955056
S010C003P018R002A032	72057594037934548	0.032851	1.000000
S010C003P018R002A033	72057594037934548	0.034209	0.869048
S010C003P018R002A034	72057594037934548	0.032015	1.000000
S010C003P018R002A035	72057594037934548	0.039657	0.780822
S010C003P018R002A038	72057594037934548	0.038408	0.819672
S010C003P018R002A040	72057594037934548	0.031639	0.782609
S011C001P002R001A052	72057594037951149	0.052954	0.931034
S011C001P002R001A053	72057594037951149	0.051235	0.864865
S011C001P002R001A056	72057594037951149	0.056577	0.789474
S011C001P002R001A057	72057594037951149	0.059513	0.698630
