      Skeleton      	     bodyID      	 Motion 	Length
S005C002P004R001A002	72057594037931915	0.195047	  1   
S005C002P004R001A002	72057594037931959	0.206615	  1   
S005C002P004R001A004	72057594037931915	0.195047	  1   
S005C002P004R001A004	72057594037931959	0.206615	  1   
S005C002P004R001A005	72057594037931915	0.195047	  1   
S005C002P004R001A005	72057594037931959	0.206615	  1   
S005C002P004R001A006	72057594037931915	0.195047	  1   
S005C002P004R001A006	72057594037931959	0.206615	  1   
S005C002P004R001A016	72057594037932862	0.098730	  1   
S005C002P004R001A017	72057594037932862	0.098730	  1   
S005C002P004R001A018	72057594037932862	0.098730	  1   
S005C002P004R001A019	72057594037932862	0.098730	  1   
S005C002P004R001A020	72057594037932862	0.098730	  1   
S005C002P004R001A021	72057594037932862	0.098730	  1   
S005C002P004R001A022	72057594037932862	0.098730	  1   
S005C002P004R001A023	72057594037932862	0.098730	  1   
S005C002P004R001A024	72057594037932862	0.098730	  1   
S005C002P004R001A025	72057594037932862	0.098730	  1   
S005C002P004R001A026	72057594037932862	0.098730	  1   
S005C002P004R001A056	72057594037932876	0.206340	  1   
S005C002P004R001A057	72057594037932876	0.206340	  1   
S005C002P004R001A058	72057594037932876	0.206340	  1   
S005C002P004R001A059	72057594037933025	0.203668	  1   
S005C002P004R001A059	72057594037932876	0.206340	  1   
S005C002P004R001A060	72057594037933025	0.203668	  1   
S005C002P004R001A060	72057594037932876	0.206340	  1   
S005C002P004R001A060	72057594037933124	0.220210	  9   
S005C002P004R002A001	72057594037933025	0.203668	  1   
S005C002P004R002A001	72057594037932876	0.206340	  1   
S005C002P004R002A003	72057594037933202	0.210754	  1   
S005C002P004R002A004	72057594037933202	0.210754	  1   
S005C002P004R002A005	72057594037933202	0.210754	  1   
S005C002P004R002A006	72057594037933202	0.210754	  1   
S005C002P004R002A007	72057594037933202	0.210754	  1   
S005C002P004R002A008	72057594037933202	0.210754	  1   
S005C002P004R002A014	72057594037933212	0.122011	  1   
S005C002P004R002A015	72057594037933212	0.122011	  1   
S005C002P004R002A016	72057594037933212	0.122011	  1   
S005C002P004R002A017	72057594037933212	0.122011	  1   
S005C002P004R002A018	72057594037933212	0.122011	  1   
S005C002P004R002A019	72057594037933212	0.122011	  1   
S005C002P004R002A020	72057594037933212	0.122011	  1   
S005C002P004R002A021	72057594037933212	0.122011	  1   
S005C002P004R002A022	72057594037933212	0.122011	  1   
S005C002P004R002A023	72057594037933212	0.122011	  1   
S005C002P004R002A024	72057594037933212	0.122011	  1   
S005C002P004R002A025	72057594037933212	0.122011	  1   
S005C002P004R002A026	72057594037933212	0.122011	  1   
S005C002P004R002A027	72057594037933212	0.122011	  1   
S005C002P004R002A028	72057594037933212	0.122011	  1   
S005C002P004R002A029	72057594037933212	0.122011	  1   
S005C002P004R002A030	72057594037933212	0.122011	  1   
S005C002P004R002A031	72057594037933212	0.122011	  1   
S005C002P004R002A032	72057594037933212	0.122011	  1   
S005C002P004R002A033	72057594037933212	0.122011	  1   
S005C002P004R002A034	72057594037933212	0.122011	  1   
S005C002P004R002A035	72057594037933212	0.122011	  1   
S005C002P004R002A036	72057594037933212	0.122011	  1   
S005C002P004R002A037	72057594037933212	0.122011	  1   
S005C002P004R002A038	72057594037933212	0.122011	  1   
S005C002P004R002A039	72057594037933212	0.122011	  1   
S005C002P004R002A040	72057594037933212	0.122011	  1   
S005C002P004R002A041	72057594037933212	0.122011	  1   
S005C002P004R002A042	72057594037933212	0.122011	  1   
S005C002P004R002A043	72057594037933212	0.122011	  1   
S005C002P004R002A044	72057594037933212	0.122011	  1   
S005C002P004R002A045	72057594037933212	0.122011	  1   
S005C002P004R002A046	72057594037933212	0.122011	  1   
S005C002P004R002A047	72057594037933212	0.122011	  1   
S005C002P004R002A048	72057594037933212	0.122011	  1   
S005C002P004R002A049	72057594037933212	0.122011	  1   
S005C002P013R002A059	72057594037934299	0.185798	  1   
S005C002P016R001A050	72057594037936405	0.189760	  3   
S005C003P016R002A060	72057594037929501	0.059073	  8   
S005C003P018R001A059	72057594037930766	0.154031	  6   
S006C001P015R001A059	72057594037942026	0.164790	  5   
S006C002P016R001A008	72057594037944587	0.127173	  1   
S007C001P019R002A050	72057594037933931	0.122199	  4   
S007C001P026R001A059	72057594037939588	0.255253	  6   
S007C002P007R001A020	72057594037936766	0.206275	  2   
S007C002P015R001A028	72057594037968830	0.162939	  1   
S007C002P015R001A029	72057594037968830	0.162939	  1   
S007C002P015R001A030	72057594037968830	0.162939	  1   
S007C002P015R001A031	72057594037968830	0.162939	  1   
S008C001P001R001A060	72057594037932033	0.136471	  4   
S008C001P019R001A060	72057594037928391	0.233418	  10  
S008C001P019R002A057	72057594037928545	0.191962	  1   
S008C002P019R001A059	72057594037931143	0.178150	  5   
S008C002P035R002A001	72057594037946690	0.183041	  1   
S008C002P035R002A003	72057594037946664	0.202035	  1   
S008C002P035R002A003	72057594037946690	0.183041	  1   
S008C002P035R002A004	72057594037946664	0.202035	  1   
S008C002P035R002A004	72057594037946690	0.183041	  1   
S008C002P035R002A006	72057594037946664	0.202035	  1   
S008C002P035R002A006	72057594037946690	0.183041	  1   
S008C002P035R002A007	72057594037946664	0.202035	  1   
S008C002P035R002A007	72057594037946690	0.183041	  1   
S008C002P035R002A011	72057594037946815	0.183479	  1   
S008C002P035R002A012	72057594037946815	0.183479	  1   
S008C003P033R001A057	72057594037943623	0.187818	  4   
S009C002P019R001A055	72057594037932249	0.246140	  10  
S009C002P025R002A050	72057594037931975	0.218448	  11  
S010C001P013R001A059	72057594037939780	0.211311	  5   
S010C001P017R001A007	72057594037943225	0.132886	  10  
S010C001P018R002A008	72057594037937067	0.102566	  11  
S010C002P007R002A014	72057594037936235	0.273672	  11  
S010C002P017R002A056	72057594037947210	0.168448	  9   
S011C001P017R001A059	72057594037946674	0.155771	  2   
S011C002P008R002A060	72057594037930953	0.168515	  8   
S012C001P019R002A059	72057594037930677	0.149617	  3   
S012C003P018R001A060	72057594037935629	0.043739	  2   
S013C001P025R002A001	72057594037929378	0.179334	  1   
S013C001P025R002A001	72057594037929450	0.199673	  1   
S013C001P037R001A056	72057594037931152	0.058175	  8   
S014C002P007R002A059	72057594037928949	0.226410	  10  
S014C002P008R002A059	72057594037929145	0.178146	  10  
S014C002P039R002A060	72057594037931988	3.615523	  1   
S015C001P015R001A055	72057594037931641	0.089640	  8   
S015C002P007R001A060	72057594037929225	0.129542	  5   
S015C002P019R001A059	72057594037930315	0.228845	  7   
S015C003P008R002A059	72057594037931108	0.182812	  10  
S015C003P015R002A008	72057594037932373	0.131637	  4   
S015C003P017R001A018	72057594037932612	0.103902	  6   
S015C003P019R001A059	72057594037930683	0.193127	  11  
S015C003P025R002A059	72057594037930475	0.175992	  5   
S015C003P037R001A059	72057594037931629	0.270707	  11  
S016C001P025R002A059	72057594037932214	0.177538	  2   
S016C002P008R001A060	72057594037931717	0.122560	  11  
S016C002P008R001A060	72057594037931704	0.129781	  11  
S016C002P039R002A057	72057594037929432	0.186682	  8   
S017C002P009R002A059	72057594037938902	0.217598	  9   
S017C003P007R002A059	72057594037935233	1.147402	  4   
      Skeleton      	     bodyID      	 Motion 	Length
